id,longitude,latitude,license
2596,116.684731,39.914383,京PQ2Q83
2452,116.696489,39.905356,京Q78AF6
2343,116.685514,39.905432,京Q78AF6
2293,116.580943,39.800307,京PT6P93
2520,116.649949,39.886441,京Q6V9B1
2389,116.654145,39.849471,京PT6P93
2312,116.324081,39.88504,京Q08DB2
2379,116.342521,39.918967,京PT7P11
2597,116.384764,39.953027,京PCX880
2456,116.178051,39.911774,京PT6P83
2313,116.406268,39.924973,京YDP385
2550,116.312496,39.924659,京PT7P08
2270,116.243472,39.970484,京PT7P08
2449,116.355585,39.953967,京Q10BY8
2469,116.216892,40.034996,京Q81AF6
2344,116.293618,39.939565,京PT7P08
2536,116.339811,39.974561,京QU2B19
2617,116.322159,39.899378,京Q08DB2
2275,116.302193,39.981937,京YDP391
2355,116.316094,39.910857,京PT7P08
2575,116.326804,39.956786,京Q10BY8
2366,116.408067,39.92079,京PT6P83
2446,116.320017,39.928756,京YDP337
2609,116.349754,39.952834,京Q10BY8
2525,116.319262,39.963676,京Q92CJ1
2306,116.298785,40.053195,京P786G8
2392,116.300981,40.053043,京Q52895
2542,116.436349,40.012016,京Q3W0K8
2375,116.46239,39.986313,京YDP337
2523,116.459749,39.987337,京Q92CJ7
2656,116.435619,39.986142,京PP5889
2658,116.431366,39.972344,京Q3W0K8
2526,116.416357,39.928353,京Q10BY6
2265,116.489495,40.001562,京YDP337
2361,116.482461,39.986824,京YDP337
2250,116.458002,40.004714,京Q93CJ8
2376,116.45884,39.98524,京Q93CJ8
2471,116.466554,39.995147,京Q92CJ7
2309,116.456593,39.918967,京Q92CJ6
2477,116.411688,39.997104,京Q11BY5
2356,116.420251,39.985198,京Q3W0K8
2586,116.449669,39.904198,京Q10BY3
2437,116.445318,39.954656,京PT6P91
2431,116.431953,39.930686,京YDP385
2534,116.573626,39.90706,京Q8V1W9
2566,116.599591,39.8985,京Q8V1W9
2576,116.457009,39.995387,京Q93CJ8
2302,116.373821,40.000039,京Q92CJ9
2489,116.382184,39.985399,京QU2B19
